first_name,last_name,email,position,department,course
Juan,Delos Santos,juan.delossantos@cvsu.edu.ph,academic,CEIT,BS Computer Science
Maria,Garcia,maria.garcia@gmail.com,student,CAS,BS Psychology
Jose,Rizal,jose.rizal@yahoo.com,non-academic,Administration,
Andrea,Santos,andrea.santos@cvsu.edu.ph,student,CEIT,BS Information Technology
Carlos,Mendoza,carlos.mendoza@outlook.com,academic,CON,BS Nursing
Elena,Reyes,elena.reyes@cvsu.edu.ph,student,CAFENR,BS Agriculture
Roberto,Lim,roberto.lim@hotmail.com,non-academic,Library,
Carmela,Fernandez,carmela.fernandez@cvsu.edu.ph,academic,CVM,DVM
Antonio,David,antonio.david@cvsu.edu.ph,student,COED,BS Education
Lourdes,Cruz,lourdes.cruz@cvsu.edu.ph,academic,CEMDS,BS Development Communication
Miguel,Torres,miguel.torres@gmail.com,student,CEIT,BS Electronics Engineering
Rosa,Villanueva,rosa.villanueva@yahoo.com,academic,CAS,MA Sociology
Pedro,Santiago,pedro.santiago@cvsu.edu.ph,non-academic,HR Department,
Teresa,Reyes,teresa.reyes@outlook.com,student,CCJ,BS Criminology
Francisco,Navarro,francisco.navarro@cvsu.edu.ph,academic,CON,BS Nursing
Patricia,David,patricia.david@hotmail.com,student,CAFENR,BS Agricultural Engineering
Ricardo,Morales,ricardo.morales@cvsu.edu.ph,non-academic,Finance Office,
Evelyn,Salvador,evelyn.salvador@gmail.com,academic,COED,PhD Education
Manuel,Ortiz,manuel.ortiz@yahoo.com,student,GRADUATE SCHOOL,MS Public Administration
